conversation_id,total_mensajes,motivos_no_pago,ofertas_asesor,argumentos_asesor,acuerdo_pago,fecha_compromiso,csat_declarado,score_satisfaccion,tono_cliente,tono_asesor,requiere_escalamiento,resumen_conversacion,modelo_llm
CONV_00000016,54,['desempleo'],['fraccionamiento'],['evitar_reporte'],0,,,30,frustrado,ineficaz,False,"El cliente indica que perdió su empleo hace tres meses y no puede cumplir con los pagos, solicitando un periodo de gracia que el asesor rechaza. El asesor ofrece un diferimiento a 6 meses, pero el cliente decide ir directamente al banco para resolver la situación, sin llegar a un acuerdo de pago específico en la conversación.",qwen/qwen3.8-27b
CONV_00000017,21,"['desempleo', 'falta_liquidez']",['fraccionamiento'],"['evitar_reporte', 'evitar_gastos']",0,,,20,frustrado,ineficaz,False,"El cliente, cesante hace un año y sin reservas, solicita opciones para su leasing habitacional en mora. El asesor no presenta alternativas concretas de normalización, insistiendo en el pago inmediato y generando frustración en el cliente. La conversación termina sin acuerdo de pago ni solución efectiva a la solicitud del cliente.",qwen/qwen3.8-27b
CONV_00000018,39,['pago_ya_realizado'],[],[],0,,0.0,0,indignado,ineficaz,True,"El cliente solicitó hablar con un asesor para dejar de recibir mensajes de cobranza, argumentando que ya realizó el pago. El asesor no pudo verificar la titularidad por falta de datos por parte del cliente y no pudo gestionar la baja de la lista de cobro, lo que generó frustración extrema en el cliente.",qwen/qwen3.8-27b
CONV_00000019,47,['falta_liquidez'],['extension_plazo'],['evitar_reporte'],0,,,80,colaborativo,neutral,False,"El cliente solicitó trasladar una cuota al final del crédito debido a retrasos en su nómina. El asesor negoció el traslado de la cuota de junio y el pago de la cuota vencida de mayo, confirmando la operación en el sistema. El cliente aceptó la propuesta pero no estableció una fecha específica para realizar el pago de la cuota vencida.",qwen/qwen3.8-27b
CONV_00000020,24,['pago_ya_realizado'],[],[],0,,,60,neutral,neutral,True,"El cliente contactó al banco indicando que ya había realizado el pago de su tarjeta pero no se reflejaba en su estado de cuenta. El asesor validó los datos y confirmó que el pago sí se había registrado correctamente, aclarando la confusión del cliente. La conversación finalizó con la confirmación del pago y la información de la próxima cuota.",qwen/qwen3.8-27b
CONV_00000021,27,['pago_ya_realizado'],[],[],0,,,50,frustrado,empatico,True,"El cliente recibió un mensaje de cobranza por una tarjeta de crédito en mora, pero afirmó haber realizado el pago el día anterior. Tras validar los datos y solicitar el comprobante, el cliente envió la imagen del pago y el asesor confirmó la recepción para actualizar el sistema.",qwen/qwen3.8-27b
CONV_00000022,42,['desconexion_o_rebote'],['refinanciacion'],['evitar_gastos'],0,,,40,neutral,ineficaz,False,"El cliente contactó para consultar sobre la tasa de interés de un nuevo crédito ofrecido por correo, no para regularizar un pago vencido. El asesor informó la tasa vigente (19,30% anual) y reiteró la importancia de pagar a tiempo, pero no logró resolver la objeción del cliente sobre el costo del crédito. El cliente finalizó la conversación indicando que buscaría en otra entidad debido a los altos intereses.",qwen/qwen3.8-27b
CONV_00000023,37,['disputa_saldo_o_cobro'],[],[],0,,,0,indignado,ineficaz,True,"La clienta contacta al banco expresando indignación por un saldo pendiente de 783.000 que no reconoce, argumentando que ya pagó la cuota de junio y los adicionales según su derecho de petición. El asesor confirma un pago reciente pero atribuye el saldo restante a un diferimiento de septiembre, sin lograr calmar a la clienta ni resolver la discrepancia. La conversación termina con la clienta exigiendo un cruce de valores y sin llegar a ningún acuerdo de pago.",qwen/qwen3.8-27b
CONV_00000024,30,['disputa_saldo_o_cobro'],['derivacion_reclamos'],['empatia_y_apoyo'],0,,,0,frustrado,empatico,True,"El cliente contacta al banco para cuestionar la discrepancia entre la cuota proyectada de su refinanciación (221 mil) y el pago mínimo actual (372 mil), argumentando que la solución no fue efectiva. El asesor valida la queja y deriva al cliente a las líneas de servicio al cliente para revisión del caso. No se llega a un acuerdo de pago inmediato, sino a una derivación para reclamo.",qwen/qwen3.8-27b
CONV_00000025,25,['falta_liquidez'],['extension_plazo'],"['evitar_reporte', 'evitar_gastos']",1,MAÑANA,7.0,100,colaborativo,empatico,False,"El cliente contactó al banco tras un mensaje inicial y validó sus datos. Expresó que no podía pagar ese mismo día por falta de liquidez inmediata, acordando realizar el pago a primera hora del día siguiente. La interacción finalizó con una alta satisfacción del cliente (NPS 10).",qwen/qwen3.8-27b
CONV_00000026,21,['consulta_o_tramite'],[],[],0,,,90,colaborativo,neutral,False,"El cliente inició la conversación interesado en asesoría financiera, pero el asesor confirmó que su producto se encuentra al día. El cliente solicitó información sobre su estado de crédito y la posibilidad de un préstamo para vivienda, siendo derivado a otras líneas de atención. La interacción finalizó sin necesidad de negociación de deuda.",qwen/qwen3.8-27b
CONV_00000027,56,['falta_liquidez'],[],['evitar_reporte'],1,6 de PERSONA_00000108,,90,colaborativo,neutral,False,"El cliente, residente fuera de Colombia, explica que no puede contestar llamadas por costos y falta de datos. El asesor informa la mora y el cliente acuerda realizar el pago el 6 de PERSONA_00000108.",qwen/qwen3.8-27b
CONV_00000028,24,['pago_ya_realizado'],[],[],0,,,60,colaborativo,neutral,True,"El cliente contactó al banco tras recibir un mensaje de cobranza indicando que ya realizó el pago el mismo día debido a problemas técnicos con su tarjeta. El asesor solicitó y recibió el soporte del pago para su actualización, cerrando la interacción sin necesidad de negociar un nuevo plan.",qwen/qwen3.8-27b
CONV_00000029,26,['desconexion_o_rebote'],[],[],1,03 de PERSONA_00000108,,90,colaborativo,neutral,False,"El cliente respondió a la campaña de reactivación y validó sus datos. Acordó el pago de la mora para el día siguiente (03 de PERSONA_00000108) tras consultar el valor de la cuota, pero la conversación se cortó antes de confirmar el medio de pago.",qwen/qwen3.8-27b
CONV_00000030,32,['desconexion_o_rebote'],[],[],1,HOY FECHA_ANONIMIZADA,,100,colaborativo,neutral,False,"El cliente, quien se encuentra fuera del país, accedió a ponerse al día con sus obligaciones vehiculares. Se generó un compromiso de pago para el mismo día de la conversación tras la validación de sus datos.",qwen/qwen3.8-27b
CONV_00000031,27,['desconexion_o_rebote'],[],['evitar_reporte'],1,mañana,7.0,100,colaborativo,neutral,False,El cliente aceptó el contacto inicial tras intentos fallidos de comunicación. Se validó la deuda y el cliente acordó realizar el pago total mañana mediante correspondales. La interacción fue fluida y el cliente mostró satisfacción en la encuesta final.,qwen/qwen3.8-27b
CONV_00000032,160,"['falta_liquidez', 'priorizacion_otros_gastos']","['refinanciacion', 'extension_plazo']",['evitar_reporte'],1,06/07,,90,colaborativo,empatico,False,"La cliente solicitó una unificación de deudas debido a la dificultad para cubrir las cuotas de dos créditos vehiculares y un préstamo libre, mencionando que está fuera del país y vendiendo uno de los vehículos. Se acordó una reestructuración a 120 meses excluyendo el vehículo en venta para no bloquear la transacción, con compromiso de pago inicial para el 06/07.",qwen/qwen3.8-27b
CONV_00000033,47,['falta_liquidez'],['refinanciacion'],['evitar_reporte'],0,,,90,colaborativo,empatico,False,"La cliente solicitó el traslado de dos cuotas vencidas al final del crédito debido a problemas de liquidez temporal. El asesor procesó la solicitud de refinanciación y actualizó los datos financieros, indicando que la respuesta del comité llegará en 5 a 8 días hábiles.",qwen/qwen3.8-27b
CONV_00000034,46,['falta_liquidez'],['extension_plazo'],['beneficio_inmediato'],0,,,40,frustrado,empatico,False,"El cliente contactó al banco frustrado por la falta de soluciones previas en oficinas físicas y la imposibilidad de pagar la cuota extraordinaria semestral por falta de liquidez. El asesor ofreció una alternativa de ampliación de plazo para ajustar las mensualidades, y el cliente aceptó revisar la propuesta. Se acordó una llamada de seguimiento para la mañana siguiente a las 7:00 AM para detallar las condiciones.",qwen/qwen3.8-27b
CONV_00000035,32,['desconexion_o_rebote'],[],[],1,07/07,7.0,100,colaborativo,empatico,False,"El cliente aceptó ser contactado para regularizar su deuda de la tarjeta Visa. Tras la validación, el cliente aceptó el compromiso de pago para el 07/07 mediante PSE en Aval Pay. La interacción finalizó con una calificación de satisfacción de 10/10.",qwen/qwen3.8-27b
CONV_00000036,27,['desconexion_o_rebote'],[],[],1,07/07,,90,colaborativo,neutral,False,"El cliente aceptó la comunicación inicial y validó sus datos. Tras la verificación del saldo pendiente, el cliente confirmó un compromiso de pago para el 07/07. La conversación finalizó con la confirmación del acuerdo y una encuesta de satisfacción.",qwen/qwen3.8-27b
CONV_00000037,48,['desconexion_o_rebote'],[],['evitar_gastos'],1,miércoles,,90,neutral,neutral,False,"El cliente contactó para validar su caso y cuestionó el cálculo del saldo pendiente de su crédito de vivienda. Tras la explicación del asesor, el cliente aceptó realizar el pago el próximo miércoles en oficina. Se registró el acuerdo de pago sin necesidad de escalamiento.",qwen/qwen3.8-27b
CONV_00000038,40,['disputa_saldo_o_cobro'],[],[],0,,,50,frustrado,neutral,True,"El cliente contactó al banco para validar un saldo pendiente en su crédito hipotecario, argumentando que ya pagó la cuota de junio y que el saldo adicional corresponde a un mes anterior. Además, reportó el cobro erróneo de un seguro de hogar cancelado. El asesor validó la información, explicó el origen del saldo adicional y derivó el caso del seguro a la oficina, quedando el cliente satisfecho con la gestión.",qwen/qwen3.8-27b
CONV_00000039,56,['emergencia_familiar'],['extension_plazo'],['evitar_reporte'],1,AGOSTO,7.0,100,colaborativo,empatico,False,"El cliente contactó al banco debido a una situación imprevista que le impide pagar sus cuotas de préstamo vehicular y personal. El asesor ofreció una prórroga trasladando las cuotas al final del crédito con retoma de pagos en agosto, la cual fue aceptada por el cliente tras aclarar que no tenía crédito hipotecario. La conversación finalizó con la radicación de la negociación y una alta satisfacción del cliente.",qwen/qwen3.8-27b
CONV_00000040,32,['falta_liquidez'],['extension_plazo'],['beneficio_inmediato'],1,06/07,,90,colaborativo,empatico,False,"El cliente contactó al banco tras recibir un mensaje de cobro y explicó que la mora se debe a retrasos en el pago de su salario por parte de su empleador. El asesor ofreció mantener el valor de la deuda hasta el 06/07, y el cliente aceptó el compromiso de pago mediante Aval Pay.",qwen/qwen3.8-27b
CONV_00000041,31,['pago_ya_realizado'],[],[],0,,,10,colaborativo,neutral,True,"El cliente contactó al banco para validar un pago realizado esa misma mañana en su tarjeta empresarial. El asesor solicitó datos de titularidad y soporte, pero la conversación se interrumpió sin confirmar la recepción del pago ni resolver la consulta del cliente.",qwen/qwen3.8-27b
CONV_00000042,23,['disputa_saldo_o_cobro'],[],[],0,,0.0,0,frustrado,ineficaz,True,"El cliente contacta al banco frustrado porque su solicitud de acuerdo de pago fue cancelada unilateralmente sin notificación. El asesor no logra resolver la incidencia y deriva la llamada a otra persona, dejando al cliente sin una solución concreta ni una nueva fecha de compromiso.",qwen/qwen3.8-27b
CONV_00000043,41,['desempleo'],['fraccionamiento'],"['evitar_reporte', 'evitar_gastos', 'empatia_y_apoyo']",1,este mes,,90,colaborativo,empatico,False,"El cliente contactó al banco indicando que está desempleado y en búsqueda laboral, por lo que no puede pagar la mora actual. El asesor explicó que no hay alivio financiero disponible pero aceptó abonos parciales, y el cliente se comprometió a pagar la cuota más vencida durante el mes en curso.",qwen/qwen3.8-27b
CONV_00000044,21,['disputa_saldo_o_cobro'],[],[],0,,,0,evasivo,neutral,True,"El cliente contactó al banco para validar una supuesta mora, indicando que no reconoce la deuda ni los datos de la empresa asociada. El asesor intentó validar la información pero el cliente no pudo proporcionar los datos solicitados, lo que sugiere un posible cobro erróneo o fraude. La conversación terminó sin acuerdo de pago y con la necesidad de escalar el caso para verificar la identidad y la deuda.",qwen/qwen3.8-27b
CONV_00000045,32,"['salud', 'emergencia_familiar', 'falta_liquidez']",['extension_plazo'],['beneficio_inmediato'],1,9 de junio,7.0,100,colaborativo,empatico,False,La clienta explica que no puede pagar debido a emergencias de salud familiares (cáncer y cirugía) y falta de liquidez. El asesor valida la situación y acuerda un pago parcial para el 9 de junio. La clienta se muestra colaborativa y satisfecha con la atención.,qwen/qwen3.8-27b
CONV_00000046,26,['pago_ya_realizado'],[],[],0,,,10,frustrado,neutral,True,"El cliente inició la conversación para validar su caso y expresar confusión por recibir un mensaje de cobranza. Al ser informado del saldo pendiente, el cliente afirmó que la deuda ya había sido pagada. La conversación terminó sin confirmación del pago ni acuerdo de pago, requiriendo verificación del comprobante.",qwen/qwen3.8-27b
CONV_00000047,23,['pago_ya_realizado'],[],[],1,hoy,,60,colaborativo,neutral,True,"El cliente contactó al banco para validar un pago que afirma haber realizado, pero que sigue apareciendo como pendiente. El asesor verificó un saldo mínimo pendiente y el cliente aceptó cancelarlo el mismo día. Se registró un acuerdo de pago para hoy, aunque la situación inicial implicaba una posible discrepancia en el sistema.",qwen/qwen3.8-27b
CONV_00000048,24,['falta_liquidez'],['fraccionamiento'],['evitar_reporte'],1,06/07,,90,colaborativo,empatico,False,"El cliente contactó al banco para negociar su deuda de tarjeta de crédito en mora. Tras una breve negociación, acordó realizar un abono parcial mediante PSE para el día 06/07, aceptando las condiciones de que la deuda continuará en mora.",qwen/qwen3.8-27b
CONV_00000049,20,['desconexion_o_rebote'],[],[],0,,,40,neutral,ineficaz,False,"El cliente inició la conversación para validar su caso y proporcionó sus datos de identificación. Sin embargo, tras ser transferido a un asesor, el cliente dejó de responder a las solicitudes de información (cédula) y la conversación terminó por inactividad sin llegar a una negociación.",qwen/qwen3.8-27b
CONV_00000050,21,['pago_ya_realizado'],[],[],0,,,0,frustrado,neutral,True,"El cliente indica que ya realizó el pago de casi el total de la deuda y que se le había olvidado. El asesor solicitó datos de validación que el cliente se negó a proporcionar, derivándolo a una línea telefónica. La conversación terminó sin resolver la situación de cobro sobre un pago ya efectuado.",qwen/qwen3.8-27b
CONV_00000051,26,['desempleo'],[],['evitar_reporte'],0,,,70,neutral,neutral,False,Cliente contactada por mora de 43 días en crédito personal. La cliente indica que no tiene trabajo desde hace un año y cuenta con ingresos de 1.500.000. La conversación se interrumpió sin llegar a un acuerdo de pago ni presentar una oferta concreta de normalización.,qwen/qwen3.8-27b
CONV_00000052,29,['desconexion_o_rebote'],[],[],1,mañana,7.0,100,colaborativo,neutral,False,El cliente contactó al banco para consultar saldos y realizó un pago de mora de 14 días. Se acordó el pago para el día siguiente mediante PSE. La interacción fue fluida y el cliente mostró alta satisfacción (NPS 10).,qwen/qwen3.8-27b
CONV_00000053,23,['pago_ya_realizado'],[],[],0,,,0,evasivo,ineficaz,True,"Cliente afirma haber pagado, asesor intenta aclarar saldo pendiente, cliente no reconoce deuda, conversación termina sin acuerdo",openai/gpt-oss-20b
CONV_00000054,29,['pago_ya_realizado'],[],[],0,,7.0,100,neutral,empatico,True,Cliente indica que ya pagó y solicita no ser contactado; asesor confirma registro y cierra la conversación.,openai/gpt-oss-20b
CONV_00000055,33,['desconexion_o_rebote'],[],[],0,,7.0,100,colaborativo,neutral,False,"El cliente solicito el link de pago para normalizar su deuda, indicando que se encuentra fuera de Colombia. El asesor proporciono el enlace y confirmo un compromiso de pago para la fecha actual, aunque el cliente no lo confirmo explicitamente con una fecha propia. La interaccion termino con el cliente intentando realizar el pago y reportando un error tecnico en la plataforma.",qwen/qwen3.8-27b
CONV_00000056,26,['disputa_saldo_o_cobro'],[],['evitar_gastos'],0,,,0,indignado,neutral,True,El cliente disputa la mora alegando que el descuento por nómina no se realizó debido a un cambio de empleador que ya notificó al banco. El asesor valida que el convenio no está activo pero el cliente insiste en que es un error del banco y ofrece enviar soportes. La conversación termina sin acuerdo de pago y con la necesidad de revisar el caso por posible cobro erróneo.,qwen/qwen3.8-27b
CONV_00000057,49,['pago_ya_realizado'],[],[],1,3/7,,10,frustrado,neutral,True,"El cliente contactó al banco frustrado porque un pago realizado el 9 de junio no se había aplicado a su crédito hipotecario, generando una mora de 26 días. Tras validar la información, el asesor confirmó que el pago ya se ve reflejado y el cliente se comprometió a realizar los pagos pendientes el 3 de julio. Se requiere escalamiento para verificar la aplicación correcta del pago anterior y evitar cobros erróneos.",qwen/qwen3.8-27b
CONV_00000058,26,['falta_liquidez'],['extension_plazo'],['empatia_y_apoyo'],0,,,80,colaborativo,empatico,False,"La cliente contactó al banco para un acuerdo de pago sobre un crédito vehicular en mora. Indicó que no tiene recursos económicos en este momento ('no me ha entrado una plata') y solicitó ser llamada mañana a las 2 PM para continuar la gestión. No se llegó a un acuerdo de pago definitivo con fecha de compromiso de pago, solo se agendó una llamada de seguimiento.",qwen/qwen3.8-27b
CONV_00000059,32,['falta_liquidez'],['extension_plazo'],"['evitar_reporte', 'evitar_gastos']",1,7,7.0,100,colaborativo,empatico,False,"El cliente contactó al banco para consultar su deuda y explicó que no ha podido pagar porque no le han pagado su salario. Se llegó a un acuerdo de pago para el día 7, tras lo cual el cliente expresó satisfacción con la atención recibida.",qwen/qwen3.8-27b
CONV_00000060,31,['falta_liquidez'],['extension_plazo'],['evitar_reporte'],1,mañana,,90,colaborativo,empatico,False,Cliente contactada por mora de 43 días en crédito personal. Acepta pagar la cuota de mayo mañana y traslada las cuotas de junio y julio para retomar pagos en agosto. Se recopilaron datos demográficos para la solicitud de traslado.,qwen/qwen3.8-27b
CONV_00000061,41,['disputa_saldo_o_cobro'],['extension_plazo'],['evitar_gastos'],0,,,40,neutral,neutral,True,"El cliente cuestiona la mora de 54 días argumentando que los descuentos de nómina deberían cubrir las cuotas. El asesor explica que la mora se debe a un pago incompleto en mayo que generó intereses, y el cliente pregunta cómo y dónde pagar el saldo pendiente para evitar más intereses, pero la conversación termina sin un compromiso de pago fechado.",qwen/qwen3.8-27b
CONV_00000062,27,['disputa_saldo_o_cobro'],[],[],0,,0.0,0,frustrado,ineficaz,True,"El cliente contactó al banco para validar su caso, argumentando que sus pagos se descuentan de la nómina y la empresa confirma que está al día. El asesor no pudo resolver la discrepancia y solo redirigió al cliente a líneas telefónicas, generando frustración. La conversación terminó sin acuerdo de pago y con una calificación de satisfacción muy baja (NPS 0).",qwen/qwen3.8-27b
CONV_00000063,25,['disputa_saldo_o_cobro'],[],"['evitar_reporte', 'evitar_gastos']",1,30 de este mes,,0,indignado,presionador,True,"El cliente contacta para validar su caso y expresa indignación por la falta de descuento en nómina y la inclusión de seguros no deseados. Aunque el asesor presiona por el pago inmediato citando la mora, el cliente se niega a pagar antes del día 30 del mes, argumentando que no puede hacerlo antes y cuestionando la honestidad del banco.",qwen/qwen3.8-27b
CONV_00000064,50,['disputa_saldo_o_cobro'],[],[],0,,,0,frustrado,ineficaz,True,"El cliente contactó para validar su caso y realizar el pago de una libranza, pero se frustró al descubrir que la cuota de junio estaba en mora debido a que el descuento por nómina no se realizó. El asesor no logró resolver la solicitud de activar el descuento por nómina ni aclarar la situación de la mora, derivando en una disputa sobre la responsabilidad del cobro.",qwen/qwen3.8-27b
CONV_00000065,35,"['desempleo', 'falta_liquidez']",['extension_plazo'],['evitar_reporte'],0,,,80,colaborativo,empatico,False,"El cliente contactó al banco indicando que perdió su empleo y no tiene liquidez para pagar las cuotas atrasadas. El asesor ofreció la alternativa de trasladar las cuotas al final del crédito para retomar pagos desde agosto. Se acordó una llamada telefónica para el día siguiente para formalizar el proceso, pero no se estableció una fecha de pago específica en la conversación.",qwen/qwen3.8-27b
CONV_00000066,48,['falta_liquidez'],['extension_plazo'],['evitar_reporte'],1,Agosto de 2026,7.0,100,colaborativo,empatico,False,"El cliente contactó al banco para gestionar cuotas pendientes de una libranza debido a la falta de aumento salarial y el incremento de costos. El asesor ofreció el traslado de dos cuotas al final del crédito, sujeto a aprobación, y el cliente aceptó las condiciones y proporcionó la información financiera requerida. Se estableció un compromiso de retomar los pagos en agosto de 2026.",qwen/qwen3.8-27b
CONV_00000067,22,['desconexion_o_rebote'],[],[],1,07/07,,100,colaborativo,neutral,False,"El cliente inició la conversación para validar su caso y proporcionó sus datos de identificación. Tras la validación del saldo pendiente, el cliente aceptó realizar el pago para el día 07/07. La conversación finalizó con la confirmación del compromiso de pago.",qwen/qwen3.8-27b
CONV_00000068,37,['desconexion_o_rebote'],[],['evitar_gastos'],1,3 de PERSONA_00000108 2026,6.0,83,colaborativo,neutral,False,"El cliente validó su caso y confirmó un compromiso de pago para el día siguiente (3 de PERSONA_00000108 2026). No se expresaron motivos específicos de mora, pero el cliente se mostró colaborativo y proporcionó datos para la referencia de pago. La interacción finalizó con una encuesta de satisfacción positiva.",qwen/qwen3.8-27b
CONV_00000069,20,['pago_ya_realizado'],[],[],0,,,40,neutral,neutral,True,"El cliente inició la conversación para validar su caso y afirmó haber realizado el pago el 30 de junio de 2026, adjuntando el comprobante. El asesor verificó que el pago cubrió las facturas de abril y mayo, pero indicó que aún existe una mora por la facturación de junio, solicitando el pago de ese saldo. La conversación terminó sin acuerdo de pago para el nuevo saldo, con el cliente sin responder a la última solicitud.",qwen/qwen3.8-27b
CONV_00000070,26,['desconexion_o_rebote'],[],[],0,,,70,neutral,ineficaz,False,El cliente inició la conversación solicitando validar su caso y luego pidió el extracto de su tarjeta. No se manifestó intención de pago ni motivo de morosidad. El asesor ofreció información pero sin avanzar en solución.,openai/gpt-oss-20b
CONV_00000071,34,['pago_ya_realizado'],[],[],0,,,40,colaborativo,neutral,True,"El cliente es contactado por mora en su crédito de libranza pero manifiesta que el pago ya fue efectuado por nómina. Tras compartir los comprobantes solicitados, el asesor confirma que sí hay descuentos aplicados y escalará el caso internamente para realizar el ajuste.",gemini-3.5-flash-lite
CONV_00000072,20,['disputa_saldo_o_cobro'],[],[],0,,,0,indignado,ineficaz,True,"El cliente contactó al banco para validar su caso y expresó indignación por no haber recibido el desembolso de una cuota, atribuyéndole la culpa al banco. Solicitó una solución específica para reestructurar el pago, pero el asesor no pudo atender la petición y derivó al cliente a líneas de servicio al cliente sin resolver la disputa.",qwen/qwen3.8-27b
CONV_00000073,47,['falta_liquidez'],['extension_plazo'],['empatia_y_apoyo'],0,,,70,neutral,empatico,False,Cliente solicita negociación por retrasos en nómina; asesor ofrece extensión de plazo; cliente acepta; proceso de negociación iniciado.,openai/gpt-oss-20b
